,Name,Affiliation,google_scholar_id
112,"Ruan, Chong-Yu",Michigan_State_University,H08e7PUAAAAJ
113,Robert C. Dynes,University_of_California_San_Diego,o5yAfgEAAAAJ
114,Andrei Afanasev,George_Washington_University,oAzhkS8AAAAJ
115,Oleg Kargaltsev,George_Washington_University,OmfOLdoAAAAJ
116,Kieron Burke,University_of_California_Irvine,NNwQAegAAAAJ
117,Jorge V. José,Indiana_University_Bloomington,NViKKS8AAAAJ
118,Michael Crawford,University_of_Delaware,Qeq_SHkAAAAJ
119,John Gizis,University_of_Delaware,rGLuKDYAAAAJ
120,Veronique Petit,University_of_Delaware,SeIaOiQAAAAJ
121,S. Ismat Shah,University_of_Delaware,EOB-NScAAAAJ
122,Umer Zubair,University_of_Delaware,0BNX_eEAAAAJ
123,Miguel Levy,Michigan_Technological_University,LytX-lQAAAAJ
124,Duncan Brown,Syracuse_University,P8L53DQAAAAJ
125,Joseph Paulsen,Syracuse_University,6aUnb_EAAAAJ
126,Mark Bowick,Syracuse_University,mj9wWSwAAAAJ
127,Kevin Mackay,University_of_South_Florida,AKi_lS8AAAAJ
128,Hariharan Srikanth,University_of_South_Florida,ePocqAEAAAAJ
129,Robert Chang,University_of_South_Florida,EmtG8vsAAAAJ
130,Sameer Varma,University_of_South_Florida,tl9e7woAAAAJ
131,Natan Andrei,Rutgers_University_New_Brunswick,NRvRzYcAAAAJ
132,Alexandre V. Morozov,Rutgers_University_New_Brunswick,gbGP-VwAAAAJ
133,Adrian Elcock,University_of_Iowa,i7ENStwAAAAJ
134,Michael E. Flatté,University_of_Iowa,g-sAMYIAAAAJ
135,Jun Wang,University_of_Iowa,Cx8pPgsAAAAJ
136,Paul Davies,Arizona_State_University,vd0wrmQAAAAJ
137,Uwe Weierstall,Arizona_State_University,VbnK3ccAAAAJ
138,John Page,Arizona_State_University,2XymNBEAAAAJ
139,Ion Stancu,The_University_of_Alabama,1zYHIp0AAAAJ
140,"Richard, Matthew",University_of_Kansas,fraRBsIAAAAJ
141,"Tapia Takaki, Daniel",University_of_Kansas,dK8-oAEAAAAJ
142,Bo Chen,University_of_Central_Florida,SaXjs4UAAAAJ
143,Michael Leuenberger,University_of_Central_Florida,-kn5W2EAAAAJ
144,Yasuyuki Nakajima,University_of_Central_Florida,29BHJzYAAAAJ
145,Peter Delfyett,University_of_Central_Florida,Lzlx1WgAAAAJ
